Competiton;City;Year;Day #;Race #;Distance;Gender (race);Solo/ Relay;Repechage;Race type;Heat #;# of skaters;Penalty;First name;Last name;Gender (fallen);Helmet #;Country;Fall / Out of track;Lap #;Turn #;Place of fall;Solo/ Group;Reason of fall;First impact;Second impact;Mattress impact;Head impact;Timing video;Impact speed mean;Impact speed m1;Impact speed m2;Impact speed m3;Not displayed;Comments
World Cup;Montreal;2022;1;21;1500m;Women;Solo;No;Quarterfinals;6;5;Yes;Geon Hee;Kim;Woman;135;Korea;Fall;No data;No data;Turn entrance;Solo;Sliding;Hip;None;Yes;None;01:48:50;#DIV/0!;;;;;
World Championships;Seoul;2023;2;102;1500m;Women;Solo;No;Semifinals;1;7;No;Gilli;Kim;Woman;134;Korea;Fall;No data;No data;End of turn;Group;Opponent fall;Hip;None;Yes;Indirect impact;00:07:38;#DIV/0!;;;;;
World Cup;Montreal;2022;1;21;1500m;Women;Solo;No;Quarterfinals;6;5;Yes;Renee Marie;Steenge;Woman;116;Canada;Fall;No data;No data;Turn entrance;Group;Opponent fall;Hand + knee;Flank;Yes;Direct impact;01:48:50;#DIV/0!;;;;;
World Championships;Seoul;2023;2;105;1500m;Men;Solo;No;Semifinals;1;7;No;Kyung Hwan;Hong;Man;166;Korea;Fall;No data;None;Straight line;Group;Skates contact;Hip;None;No;None;00:23:08;#DIV/0!;;;;;
World Cup;Montreal;2022;1;24;1500m;Men;Solo;No;Quarterfinals;3;6;No;Theo;Collins;Man;156;UK;Fall;No data;No data;Turn entrance;Solo;Skate stuck in the ice;Hand;Shin;Yes;No data;02:04:30;#DIV/0!;;;;;
World Championships;Seoul;2023;2;105;1500m;Men;Solo;No;Semifinals;1;7;No;Sebastien;Lepape;Man;11;France;Out of track;No data;No data;Turn;Group;Opponent contact;None;None;No;None;00:23:28;#DIV/0!;;;;;
World Cup;Montreal;2022;1;25;1500m;Men;Solo;No;Quarterfinals;4;7;No;Ivan;Donchev;Man;44;Bulgaria;Fall;No data;No data;End of turn;Solo;Cone;Elbow;Hip;Yes;Indirect impact;02:08:09;#DIV/0!;;;;;
World Championships;Seoul;2023;2;105;1500m;Men;Solo;No;Semifinals;1;7;No;Nico;Andermann;Man;26;Austria;Out of track;No data;No data;Turn;Group;Opponent contact;None;None;No;None;00:23:30;#DIV/0!;;;;;
World Cup;Montreal;2022;1;27;1500m;Men;Solo;No;Quarterfinals;6;6;No;Reinis;Berzins;Man;18;Latvia;Out of track;No data;None;Finish line;Solo;Sliding;None;None;No;None;02:16:45;#DIV/0!;;;;;
World Championships;Seoul;2023;2;106;1500m;Men;Solo;No;Semifinals;2;7;No;Clayton;De Clemente;Man;132;USA;Fall;No data;None;Straight line;Group;Skates contact;Knee;Hip;No data;No data;00:29:44;#DIV/0!;;;;;
